  year          age         mx       qx     ax     lx       dx      Lx       Tx     ex
  2000          76      0.07429  0.07163  0.50   34453    2468   33219   269708   7.83
  2000          77      0.07559  0.07284  0.50   31985    2330   30821   236489   7.39
  2000          78      0.08537  0.08187  0.50   29656    2428   28442   205668   6.94
  2000          79      0.09382  0.08962  0.50   27228    2440   26008   177226   6.51
  2000          80      0.10613  0.10078  0.50   24788    2498   23539   151219   6.10
  2000          81      0.11688  0.11043  0.50   22290    2461   21059   127680   5.73
  2000          82      0.12129  0.11435  0.50   19828    2267   18694   106621   5.38
  2000          83      0.13703  0.12824  0.50   17561    2252   16435    87927   5.01
  2000          84      0.15089  0.14031  0.50   15309    2148   14235    71492   4.67
  2000          85      0.16912  0.15593  0.50   13161    2052   12135    57257   4.35
  2000          86      0.18803  0.17187  0.50   11109    1909   10154    45122   4.06
  2000          87      0.20023  0.18201  0.50    9199    1674    8362    34968   3.80
  2000          88      0.22416  0.20157  0.50    7525    1517    6767    26606   3.54
  2000          89      0.24538  0.21857  0.50    6008    1313    5352    19840   3.30
  2000          90      0.26719  0.23570  0.50    4695    1107    4142    14488   3.09
  2000          91      0.29584  0.25772  0.50    3588     925    3126    10346   2.88
  2000          92      0.32043  0.27618  0.50    2664     736    2296     7220   2.71
  2000          93      0.34831  0.29665  0.50    1928     572    1642     4924   2.55
  2000          94      0.36391  0.30789  0.50    1356     418    1147     3282   2.42
  2000          95      0.39440  0.32943  0.50     939     309     784     2135   2.27
  2000          96      0.42301  0.34916  0.50     629     220     519     1351   2.15
  2000          97      0.45222  0.36882  0.50     410     151     334      832   2.03
  2000          98      0.48181  0.38827  0.50     259     100     208      498   1.92
  2000          99      0.51159  0.40738  0.50     158      64     126      289   1.83
  2000         100      0.54133  0.42602  0.50      94      40      74      163   1.74
  2000         101      0.57082  0.44408  0.50      54      24      42       89   1.66
  2000         102      0.59985  0.46145  0.50      30      14      23       48   1.59
  2000         103      0.62823  0.47806  0.50      16       8      12       25   1.53
  2000         104      0.65578  0.49385  0.50       8       4       6       12   1.47
  2000         105      0.68235  0.50877  0.50       4       2       3        6   1.42
  2000         106      0.70780  0.52279  0.50       2       1       2        3   1.38
  2000         107      0.73203  0.53589  0.50       1       1       1        1   1.34
  2000         108      0.75496  0.54807  0.50       0       0       0        1   1.30
  2000         109      0.77655  0.55936  0.50       0       0       0        0   1.27
  2000         110+     0.79675  1.00000  1.26       0       0       0        0   1.26
